id,name,x86_64-linux,aarch64-linux,aarch64-darwin
gnat16Packages.gpr2,340232283,340232279,
gnome2.gtksourceview,,,340232574
gnucobol,,,340733243
gnudatalanguage,,340232627,
goobook,340236264,340236257,340236292
gophernotes,340236366,340236368,340236367
gossip,,,340236488
goxlr-utility,,,340236612
gplates,340236674,340236671,
gpt4all,340236701,340236700,
gqrx-gr-audio,,,340724689
gradm,,340236821,
grafx2,,,340236977
graphinder,340237026,340237025,340237024
greenbone-feed-sync,,,340724701
gshogi,340237403,340237401,
gtk-frdp,,,340237540
guile-git,,,340237716
handlr-regex,,,340238097
hashcash,,,340238191
haskell.packages.ghc98.haskell-language-server,,,340239526
haskellPackages.AppleScript,,,340238398
haskellPackages.GOST34112012-Hash,,340238664,340238666
haskellPackages.HsHTSLib,,,340238827
haskellPackages.aoc,,,340240883
haskellPackages.botan-low,,340241933,
haskellPackages.bytestring-encoding,,,340242151
haskellPackages.copilot-c99,,,340243312
haskellPackages.cpython,,340243419,
haskellPackages.diagrams-pandoc,,340244414,
haskellPackages.epub-metadata,,,340245002
haskellPackages.error-codes,,,340245025
haskellPackages.eventlog-live-otelcol,340245140,340245377,340245141
haskellPackages.executable-hash,,,340245166
haskellPackages.exinst-base,,,340245176
haskellPackages.freetype2,,340245740,340245742
haskellPackages.genvalidity-dirforest,,,340246144
haskellPackages.gi-gdkx113,,,340246469
haskellPackages.gi-gdkx114,,,340246470
haskellPackages.gi-gst,340246501,340246500,340246497
haskellPackages.gi-gtkosxapplication,,,340246523
haskellPackages.gi-soup3,,,340246575
haskellPackages.gtk-mac-integration,,,340247570
haskellPackages.gtk-traymanager,,,340247533
haskellPackages.gtk3-mac-integration,,,340247517
haskellPackages.hamid,,,340247668
haskellPackages.hcwiid,340248002,340248001,
haskellPackages.heftia-effects,,,340248083
haskellPackages.heph-aligned-storable,,,340248108
haskellPackages.hevm,340248227,340248199,340248182
haskellPackages.highlight,,,340248262
haskellPackages.hlibgit2,,340248343,
haskellPackages.huckleberry,,,340249253
haskellPackages.hunspell-hs,,,340249283
haskellPackages.hw-ip,340249331,340249316,340249311
haskellPackages.hw-json-simd,,340249305,340249304
haskellPackages.hw-streams,340249343,340249472,340249334
haskellPackages.ihp-ide,340249563,340249560,340249562
haskellPackages.implicit,,,340249589
haskellPackages.kqueue,,,340250326
haskellPackages.libtorch-ffi,,,340250794
