id,name,x86_64-linux,aarch64-linux,aarch64-darwin
ecl_16_1_2,324463429,324463426,
ecos,324463572,324463573,
edencommon,,,324463608
eflite,324463705,324463703,
eggdrop,324463739,324463736,
eggnog-mapper,,,325032236
egoboo,,,324463750
eigenmath,324463778,324463777,
eiskaltdcpp,325036274,325036273,
ela-widget-tools,,,324463833
electricsheep,325251520,325251519,
electrs,,,324463894
electrum,,,324463905
elektroid,324463912,324463909,
elmerfem,,,325297091
emboss,324464229,324464228,
emmy-lua-code-style,324464290,324464285,
epgstation,,,324464598
equalx,,,324464667
eresi,324464693,324464692,
es,324464765,324464762,
eta,324464852,324464853,
ete-unwrapped,,324464869,324464870
etlegacy-unwrapped,,,324464907
eukleides,324464926,324464923,
exatorrent,,,324465051
excalidraw_export,324465065,324465059,324465060
exhaustive,324465100,324465098,324465102
explain,324465163,,
expliot,325303335,325303334,
factoriolab,,,325179581
fastcap,324465784,324465714,
fasthenry,324465609,,
fatcat,,,324465651
fauna-shell,324465679,324465676,324465675
fbpanel,324465770,324465769,
fbv,,,324465773
fceux-qt6,325281690,325281687,
fcron,,,324465873
fdtools,324465907,324465905,
fedimint,324465930,324465928,
fetchtastic,,,324466080
ffmpeg-livepeer,324466141,324466137,324466138
filebench,324466327,324466325,
filen-desktop,,,324744403
fileshelter,324466384,,
firewalk,324466549,324466548,
fishMinimal,,325245290,
flatcc,324466932,324466929,324466930
fleng,,,324466981
flex-launcher,,,324466993
flow-control,,,324467085
fluent-bit,,,324467130
flycast,324467281,324467280,
fmt_10,,,324467328
fmt_9,,,324467342
foonathan-memory,,,324467586
ford,,,325245326
fortitude,,,324467668
fosrl-newt,,,325297112
foxotron,324467747,324467744,
framac,,,325215961
frawk,324467831,324467829,324467828
freeorion,324467914,324467917,
freepv,,,324467920
fsv,324468179,324468177,
fteqw,324468198,324468197,
funnelweb,324468256,324468255,
fwts,324468346,324468344,
g15daemon,,,324468401
galculator,324468477,324468443,
gaphor,324468575,324468565,
garble,324468603,324468602,
gaw,324468722,324468724,
gawkextlib.select,,,324468796
gbdfed,324468830,324468822,
gcal,324468833,324468832,
gccNGPackages_15.gcc-unwrapped,,,324468893
gccNGPackages_15.libquadmath,324468946,,
geda,324469168,324469169,
gen6dns,324469251,324469248,
getxbook,,,324469490
ggz_base_libs,324469584,324469583,
ghdl-gcc,324469715,,
ghidra-extensions.gnudisassembler,324469761,324469762,324469759
gimme-aws-creds,324469926,324469927,324469928
git-chain,,,324470129
git-gamble,,,325306198
git-instafix,324470288,324470285,
